UPSTAIRS INVENTORY ,Unnamed: 1,SEPT,2024-09-01 00:00:00,Unnamed: 4
936741,Luxardo Limoncello,29,0,0
936741,Luxardo Amaretto,31,1,31
989432,Luxardo Maraschino,36.16,0,0
17257,Makers Mark Bourbon,34.93,0.9,31.44
9998,Malfy Gin,25.86,1.6,41.38
525747,"Martell Cognac ""Cordon Bleu""",144,0.6,86.4
523646,Martell Cognac VS Sng Dist,79.08,0.1,7.91
523646,Matanzas Creek Merlot,31,7.8,241.8
,Michters Amer Small Batch Wsky,39.9,1.5,59.85
413671,Michters Rye Single Brl Wsky,39.9,1.5,59.85
413668,Monkey 47 Gin,56.5,1.6,90.4
898141,Morgon Gamay,28.08,12,336.96
,Mr. Black Coffee Liquer,26.5,0.1,2.65
,"Neyers ""304"" Chardonnay",17,12,204
,"Neyers ""Sage Canyon"" Red",20,16.6,332
344510,Nikka Coffey Grain,59.74,1,59.74
344510,Nikka Coffey Malt,63.74,0.8,50.99
,"Nikka ""Miyagikyo""",72,1,72
,Nonino Amaro,25.21,2.1,52.94
16569,Oban Little Bay,72.5,0.3,21.75
375456,Ocean Vodka,38.42,5.9,226.68
310253,Old Pali Rd Whiskey,40,3.5,140
310253,Pimms Cup,24.8,0.4,9.92
31129,Prisoner Red,25,8,200
,Real McCoy Rum,20.25,2.3,46.58
,Redbreast 12yr Irish Whiskey,60,0.7,42
86276,Ron Zacapa Rum,41.25,1.5,61.88
401463,Rothman Winter Creme de Violet,20.67,2.9,59.94
990704,Russell's 6yr Rye,36.08,1.2,43.3
,Shatter Grenache,13.99,16,223.84
,Silver Oak Alexander Valley,77,1.8,138.6
,Smith & Cross Rum,26.08,0,0
299364,St.Elizabeths All Spice Dram,26.08,1.9,49.55
304215,St Germain Liqueur,33.93,3.1,105.18
175921,Strega,31.29,0.3,9.39
,Suntory Roku Gin,35,1,35
,Suntory Yamazaki 100 Anniv,169.5,0.1,16.95
,Suntory Toki Whisky,33.75,5.2,175.5
412171,Suntory Hibiki Harmony,71,0.9,63.9
,Suntory Haku Vodka,24.08,0.9,21.67
,Tanqueray,38,1.4,53.2
,Teramana Blanco,40,0.3,12
378824,Teeling Irish Whiskey,44.08,0.1,4.41
378824,Trader Vic's Mac nut ,17.5,1,17.5
,Ube Syrup,18.5,11,203.5
,Veuve Clicquot,63.25,3,189.75
,Widow Jane 10yr,59.74,2.3,137.4
,Widow Baby  Jane 6yr,59.74,0,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,12957.19
Southern Glazers of HI Total:,,,,
,,,,
RNDC,Aska Bolgheri Rosso,23.75,2,47.5
700125,Baskoli Rose,14.1,2,28.2
,Benriach 10yr,48.33,2.1,101.49
,Bollinger Cuvee,66.49,2,132.98
,"Bruichladdich ""Classic Laddie""",48,0.9,43.2
,Buglioni 'Musa' Trebbiano,15.25,18,274.5
,Carpano Antica Formula,41,3.2,131.2
612013,Chateau de Beaucastel CDP 21,76,3,228
,Chareau Aloe Liq,29,3,87
,Cinzano,18,1,18
,Cynar,32,0.8,25.6
736229,Diplomatico,32,0.75,24
,Dr Loosen Riesling,15.25,4,61
851121,Daou RSV Chard,27.83,1,27.83
401127,Everclear Alcohol,15.08,0.9,13.57
,Elizabeth Spencer Rose,13,18,234
,El Jolgorio,155.1,0.3,46.53
453020,Fernet Branca,33.29,0.3,9.99
,Fid Street gin,25.89,8.6,222.65
648321,Giffard Banae de Bresil,31.5,2,63
648526,Giffard Lichi,28,3.6,100.8
648523,Giffard Creme de Peche,27.5,6.3,173.25
185011,Giffard Orgeat,20,0.8,16
648525,Giffard Pamplemousse,27.5,3.7,101.75
,Giffard Strawberry,25,1,25
,Giffard Vanilla,28.5,0.8,22.8
77011,Glenfiddich 12yr,51.2,0.7,35.84
,Heitz Cellars Cabernet C-91,99.5,3,298.5
40910,Hendrick's Gin,41,0.4,16.4
,Herradura Blanco,30.88,0.2,6.18
,Herradura Reposado,41.11,0.3,12.33
,Hon Beerworks Cocoweizen,198,0.5,99
71585,Hon Beerworks Pussy Grabs Back,198,0.4,79.2
20127,Jack Daniels,35,1.6,56
,Laurent-Perrier Rose,77.5,1,77.5
,Lalo Blanco Tequila,39,1.2,46.8
,Limavady Irish Whiskey,47.5,2.1,99.75
,Lust Zinfandel,32,12,384
,Kasama Rum,21.3,3.3,70.29
,Macallan 12yr Double Cask,71.16,4.9,348.68
,Mahina Dark/ Coconut,8,0.8,6.4
,Maestro Dobel,32,5,160
349222,Macchu Pisco,23.5,0,0
,Monkey Shoulder,29.32,0.5,14.66
294211,Myer's Original Dark Rum,24.9,1.8,44.82
,Naked Malt Whiskey,45,0,0
,Number 3 Gin,40,0.6,24
,Park Cognac Pineau,23.5,2.5,58.75
,Pellegrino Amaro,24.49,0,0
305116,Peychaud's Bitters,6.75,0,0
,Planeta Carricante White,27.5,10,275
,Planeta Chard,34,2,68
,Planeta Frappato Rosso,30.5,7.1,216.55
612020,Punt e Mes,25,1.8,45
,Remy XO,165.95,0.6,99.57
,Sambuca White,25.09,1.5,37.64
441121,Schramsberg Blanc de Noir,29.33,1,29.33
,Sequoia Grove Cabernet,24.5,0,0
,"St. George ""Baller"" whiskey",40,0.9,36
650125,Sycamore Lane Chard,4.71,8,37.68
,Sycamore Lane Cab,4.71,0,0
,Taittinger Champagne,49,0,0
57627,Taylor Fladgate 10yr tawny,26.3,5.1,134.13
79813,Tito's Vodka,18.95,13.1,248.25
,Treana Sauvignon Blanc,12,12,144
,"Whistle Pig ""Beholden"" 21yr",679,0.9,611.1
,"Whistle Pig ""Boss Hog"" X",486,0.75,364.5
,"Whistle Pig ""Old World Rye"" ",486,0.5,243
,Whistle Pig 'Piggy Back',36,21.75,783
,Xicaru Silver Mezcal,28,7,196
,,,,7767.69
,,,,
JOHNSON BROS.,,,,
31251,Don Fulano Blanco,36.99,0,0
,Don Fulano Anejo,57.99,0.7,40.59
,Don Fulano Repo,42,0.1,4.2
,Dalmore 12yr,70,0.5,35
,Koval Whiskey,42,0.4,16.8
,Rumchata,28,3,84
,Montenegro Amaro,21.24,3.9,82.84
,Quilt Cabernet Napa Valley,25,12.7,317.5
,Lamarca split,4.5,8,36
,Tanduay Gold Rum,14,0.4,5.6
,,,,622.53
,,,,
Odom Corp.,,,,
36820034,Kona Light Blonde Ale keg,195,0.5,97.5
,,,,0
,,,,97.5
,,,,
Hana Koa Brewing & Kalihi Beer Co.& Howzit ,,,,
,Hana Koa Rice Breaker,199.5,1.8,359.1
,Hana Koa Rotating tall Boys,3.75,24,90
,Hana Koa Rotating Hazy IPA,270,0.8,216
,Howzit rotating lighter style,275,0.9,247.5
,Howzit Rotating heavy style,275,0.8,220
,Kalihi HIFI,198,0.7,138.6
,Kalihi Hefeweisen,165,0.7,115.5
,,,,1386.7
,,,,
,,,,
,,,,
Chambers & Chambers,,,,
,Bella Union,47,0,0
,Post & Beam Chard,20,12,240
,Ramey Cab,54,0,0
,Turley Zin Juvenile,45,5,225
,Dolce late harvest ,42,6,252
,,,,717
,,,,
Ohana Bev Co,,,,
,Yves Cuilleron Marsanne,16.57,14,231.98
,Yves Cuilleron syrah,15.72,20.4,320.69
,,0,,0
Ohana Bev Co total:,,,,552.67
,,,,
Kitchen Inventory,,,,
SWS,Korbel Brandy,15,8.8,132
SWS,Taylor fladgate Ruby Port,12,4,48
JB,Peter Vella Box Wine,15,6,90
,Typhoon Sake,21.82,3.2,69.82
,Pernod,28,4,112
SWS,Dolin Dry Vermouth,14.58,12.6,183.71
kitchen Total:,,,,635.53
,,,,
,,,,
Grand total,,,,25529.5
,,,,
cost variables:,,,,
   I purchased 2 cases of wine glasses to execute the upcoming Kaka'ako wine dinner as well as the November 4th  ,,,,
Caymus dinner. 24 purchased and negotiated down to $8.50 versus $22 per with a commitment to use the glassware ,,,,
at all our wine dinners. Total cost: $204,,,,
,,,,
kitchen costs:,,,,
1 case of brandy $180,,,,
1 cs ruby port $144,,,,
1 cs sake $132,,,,
1 cs cooking wine $62,,,,
Total cost: $518,,,,
